,Gender,Age,Father_Occupation,Intermediate_College,Current_Attendance,Self_Study_Time,Living_with_Family_or_Bachelor,Supplements_in_recent result,No_of_Family_Members,Father_Status,Free_Time,Admission,Accommodation,Internet,Gadgets,GPA
431,Male,23,Other,Govt.,87.0,3h to 5h,Bachelor,1,5,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop, Computer",3.18
432,Male,23,Other,Govt.,87.0,1h to 1.5h,Bachelor,1,5,Alive,4h to 6h,Merit,Rented,Yes,"Mobile, Laptop, Computer",3.18
433,Male,23,Other,Govt.,87.0,1h to 1.5h,Bachelor,0,5,Alive,4h to 6h,Merit,Rented,Yes,"Mobile, Laptop, Computer",3.18
434,Male,23,Other,Govt.,87.0,1h to 1.5h,Bachelor,1,5,Alive,4h to 6h,Merit,Rented,Yes,"Mobile, Laptop, Computer",3.18
435,Male,23,Other,Govt.,87.0,3h to 5h,Bachelor,1,5,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop, Computer",3.18
436,Male,22,Other,Govt.,80.0,1.5h to 3h,Bachelor,2,5,Decease,4h to 6h,Merit,Rented,Yes,Mobile,2.71
437,Male,22,Other,Govt.,80.0,3h to 5h,Bachelor,0,5,Decease,3h to 4h,Merit,Rented,Yes,Mobile,2.79
438,Male,22,Other,Govt.,80.0,1h to 1.5h,Bachelor,1,5,Decease,3h to 4h,Merit,Rented,Yes,Mobile,3.25
439,Male,22,Other,Govt.,80.0,1h to 1.5h,Bachelor,1,5,Decease,4h to 6h,Merit,Rented,Yes,Mobile,2.71
440,Male,22,Other,Govt.,80.0,1h to 1.5h,Bachelor,0,5,Decease,4h to 6h,Merit,Rented,Yes,Mobile,2.09
441,Male,15,Not Applicable,Govt.,82.0,3h to 5h,Family,0,4,Alive,3h to 4h,Merit,Rented,Yes,Laptop,3.7
442,Male,15,Not Applicable,Govt.,82.0,5h to 8h,Family,0,4,Alive,3h to 4h,Merit,Rented,Yes,Laptop,3.6
443,Male,15,Not Applicable,Govt.,82.0,5h to 8h,Family,0,4,Alive,3h to 4h,Merit,Rented,Yes,Laptop,3.4
444,Male,15,Not Applicable,Govt.,82.0,1h to 1.5h,Family,0,4,Alive,3h to 4h,Merit,Rented,Yes,Laptop,3.3
445,Male,15,Not Applicable,Govt.,82.0,3h to 5h,Family,0,4,Alive,3h to 4h,Merit,Rented,Yes,Laptop,3.5
446,Male,23,Labor,Govt.,78.0,5h to 8h,Bachelor,0,8,Alive,4h to 6h,Merit,Rented,Yes,"Mobile, Laptop",3.0
447,Male,23,Labor,Govt.,78.0,5h to 8h,Bachelor,0,8,Alive,4h to 6h,Merit,Rented,Yes,"Mobile, Laptop",2.7
448,Male,23,Labor,Govt.,78.0,5h to 8h,Bachelor,0,8,Alive,4h to 6h,Merit,Rented,Yes,"Mobile, Laptop",2.5
449,Male,23,Labor,Govt.,78.0,5h to 8h,Bachelor,0,8,Alive,4h to 6h,Merit,Rented,Yes,"Mobile, Laptop",2.4
450,Male,23,Labor,Govt.,78.0,1h to 1.5h,Bachelor,1,8,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop",2.65
