,Gender,Age,Father_Occupation,Intermediate_College,Current_Attendance,Self_Study_Time,Living_with_Family_or_Bachelor,Supplements_in_recent result,No_of_Family_Members,Father_Status,Free_Time,Admission,Accommodation,Internet,Gadgets,GPA
120,1,22,5,1,78.0,2,0,0,4,0,1,0,1,1,4,3.76
121,1,21,5,0,75.0,3,0,0,4,0,1,0,1,1,4,3.28
122,1,21,5,0,75.0,2,0,1,4,0,1,0,1,1,4,3.28
123,1,21,5,0,75.0,2,0,2,4,0,1,0,1,1,4,3.28
124,1,22,9,0,87.0,3,0,0,4,0,1,0,1,1,7,3.0
125,1,22,9,0,87.0,3,0,0,4,0,1,0,1,1,7,2.21
126,1,22,9,0,87.0,1,0,4,4,0,2,0,1,1,7,3.28
127,1,21,5,0,75.0,2,1,0,5,0,1,0,1,1,3,3.5
128,1,21,5,0,75.0,2,1,0,5,0,1,0,1,1,3,3.16
129,1,21,5,0,75.0,2,1,2,5,0,1,0,1,1,3,3.28
130,1,23,5,0,87.0,2,1,0,4,0,1,0,0,1,4,3.28
131,1,23,5,0,87.0,3,1,2,4,0,2,0,0,1,4,3.28
132,1,23,5,0,87.0,0,1,2,4,0,3,0,0,1,4,3.28
133,1,22,9,0,80.0,3,0,0,3,0,1,1,1,1,4,3.35
134,1,22,9,0,80.0,3,0,0,3,0,1,1,1,1,4,3.38
135,1,22,9,0,80.0,3,0,2,3,0,1,1,1,1,4,3.28
136,1,22,5,1,70.0,0,1,0,1,0,3,0,0,1,6,4.0
137,1,22,5,1,70.0,0,1,0,1,0,3,0,0,1,6,3.72
138,1,22,5,1,70.0,0,1,1,1,0,3,0,0,1,6,3.28
139,1,22,9,0,87.0,3,0,0,4,0,1,0,1,1,4,2.5
140,1,22,9,0,87.0,3,0,2,4,0,1,0,1,1,4,2.5
141,1,22,9,0,87.0,3,0,4,4,0,1,0,1,1,4,2.5
142,1,23,5,0,80.0,3,1,0,5,0,1,0,1,1,7,4.0
143,1,23,5,0,80.0,3,1,0,5,0,1,0,1,1,7,3.59
144,1,23,5,0,80.0,3,1,0,5,0,1,0,1,1,7,3.1
145,0,20,3,1,70.0,5,1,0,3,0,1,0,0,1,1,3.35
146,0,20,3,1,70.0,5,1,0,3,0,1,0,0,1,1,3.5
147,0,20,3,1,70.0,3,1,2,3,0,1,0,0,1,1,3.42
148,1,21,6,0,67.07,1,1,0,7,0,2,0,0,1,4,4.0
149,1,21,6,0,67.07,1,1,0,7,0,2,0,0,1,4,3.88
150,1,21,6,0,67.07,1,1,0,7,0,2,0,0,1,4,3.25
151,1,22,0,1,75.0,2,1,0,5,0,2,0,1,1,4,3.0
152,1,22,0,1,75.0,0,1,2,5,0,2,0,1,1,4,3.0
153,1,22,0,1,75.0,2,1,2,5,0,2,0,1,1,4,3.0
154,1,19,5,0,73.0,1,1,0,2,0,1,0,1,1,4,3.5
155,1,19,5,0,73.0,1,1,0,2,0,1,0,1,1,4,3.39
156,1,19,5,0,73.0,1,1,0,2,0,1,0,1,1,4,2.2
157,0,22,0,1,78.0,3,0,0,4,0,1,1,1,1,4,3.0
158,0,22,0,1,78.0,3,0,1,4,0,1,1,1,1,4,3.28
159,0,22,0,1,78.0,3,0,3,4,0,1,1,1,1,4,3.28
160,1,23,9,0,87.0,3,0,0,5,0,1,1,1,1,7,3.28
161,1,23,9,0,87.0,2,0,2,5,0,2,1,1,1,7,3.28
162,1,23,9,0,87.0,2,0,4,5,0,2,1,1,1,7,3.28
163,1,23,7,0,70.0,1,1,0,1,1,1,0,1,1,4,3.0
164,1,23,7,0,70.0,2,1,0,1,1,1,0,1,1,4,3.81
165,1,23,7,0,70.0,1,1,0,1,1,1,0,1,1,4,2.59
166,1,22,0,0,78.0,2,0,0,4,0,1,0,1,1,7,3.28
167,1,22,0,0,78.0,2,0,0,4,0,1,0,1,1,7,3.28
168,1,22,0,0,78.0,2,0,4,4,0,1,0,1,1,7,3.28
169,1,18,5,0,71.0,2,1,0,0,1,0,0,1,0,1,4.0
170,1,18,5,0,71.0,2,1,0,0,1,0,0,1,0,1,3.67
171,1,18,5,0,71.0,2,1,0,0,1,0,0,1,0,1,3.81
172,1,22,5,1,78.0,3,0,0,3,0,2,1,0,1,7,2.15
173,1,22,5,1,78.0,3,0,2,3,0,2,1,0,1,7,2.15
174,1,22,5,1,78.0,3,0,4,3,0,2,1,0,1,7,2.15
175,1,23,9,1,87.0,3,1,0,5,0,2,0,1,1,4,3.28
176,1,23,9,1,87.0,2,1,1,5,0,1,0,1,1,4,3.28
177,1,23,9,1,87.0,2,1,3,5,0,0,0,1,1,4,3.28
178,0,22,4,0,75.0,3,1,0,3,1,1,0,1,1,1,4.0
179,0,22,4,0,75.0,2,1,0,3,1,2,0,1,1,1,3.89
180,0,22,4,0,75.0,3,1,0,3,1,1,0,1,1,1,3.76
181,0,20,6,0,75.4,4,1,0,1,0,1,0,0,1,4,4.0
182,0,20,6,0,75.4,4,1,0,1,0,1,0,0,1,4,3.88
183,0,20,6,0,75.4,2,1,0,1,0,1,0,0,1,4,3.66
184,1,22,0,0,74.0,2,0,0,3,0,2,0,1,1,4,3.28
185,1,22,0,0,74.0,3,0,0,3,0,1,0,1,1,4,3.28
186,1,22,0,0,74.0,2,0,4,3,0,2,0,1,1,4,3.28
187,1,21,6,0,70.0,3,1,0,3,0,1,0,0,1,6,3.5
188,1,21,6,0,70.0,2,1,0,3,0,1,0,0,1,6,3.19
189,1,21,6,0,70.0,2,1,1,3,0,1,0,0,1,6,3.28
190,1,22,5,0,82.0,3,0,0,2,0,1,0,1,1,4,3.85
191,1,22,5,0,82.0,3,0,0,2,0,1,0,1,1,4,2.88
192,1,22,5,0,82.0,3,0,1,2,0,1,0,1,1,4,3.36
193,1,23,0,1,78.0,3,1,0,3,0,1,0,0,1,7,3.28
194,1,23,0,1,78.0,1,1,2,3,0,1,0,0,1,7,3.28
195,1,23,0,1,78.0,3,1,4,3,0,1,0,0,1,7,3.28
196,1,22,5,0,74.0,1,0,0,5,0,1,0,1,1,5,3.28
197,1,22,5,0,74.0,1,0,0,5,0,1,0,1,1,5,3.64
198,1,22,5,0,74.0,1,0,0,5,0,1,0,1,1,5,3.27
199,1,21,8,0,57.0,2,0,4,11,0,1,0,1,1,4,3.0
200,1,21,8,0,57.0,2,0,1,11,0,1,0,1,1,4,3.0
201,1,21,8,0,57.0,2,0,1,11,0,1,0,1,1,4,3.0
202,1,21,5,0,60.0,4,1,0,8,0,1,0,0,1,4,3.5
203,1,21,5,0,60.0,4,1,0,8,0,1,0,0,1,4,3.75
204,1,21,5,0,60.0,2,1,0,8,0,1,0,0,1,4,3.31
205,1,22,9,0,79.0,4,0,0,2,0,1,0,1,1,4,4.0
206,1,22,9,0,79.0,2,0,0,2,0,1,0,1,1,4,2.86
207,1,22,9,0,79.0,2,0,1,2,0,1,0,1,1,4,3.28
208,1,20,3,0,85.0,1,0,0,9,0,1,0,1,1,4,2.94
209,1,20,3,0,85.0,1,0,0,9,0,1,0,1,1,4,2.94
210,1,20,3,0,85.0,1,0,0,9,0,1,0,1,1,4,2.94
211,0,21,5,0,83.0,5,1,0,2,0,1,0,1,1,7,4.0
212,0,21,5,0,83.0,2,1,0,2,0,2,0,1,1,7,3.42
213,0,21,5,0,83.0,2,1,0,2,0,2,0,1,1,7,3.83
214,0,21,5,0,83.0,2,1,0,2,0,2,0,1,1,7,3.831
215,0,21,5,0,83.0,2,1,0,2,0,2,0,1,1,7,3.42
216,1,22,3,0,73.0,2,0,1,4,0,1,0,1,1,4,3.33
217,1,22,3,0,73.0,2,0,0,4,0,1,0,1,1,4,2.87
218,1,22,3,0,73.0,1,0,0,4,0,1,0,1,1,4,3.08
219,1,22,3,0,73.0,2,0,0,4,0,1,0,1,1,4,2.33
220,1,22,3,0,73.0,1,0,0,4,0,1,0,1,1,4,2.77
221,0,22,8,0,97.0,3,1,0,3,0,2,0,0,1,7,3.94
222,0,22,8,0,97.0,3,1,0,3,0,2,0,0,1,7,4.0
223,0,22,8,0,97.0,3,1,0,3,0,2,0,0,1,7,3.75
224,0,22,8,0,97.0,3,1,0,3,0,2,0,0,1,7,3.68
225,0,22,8,0,97.0,3,1,0,3,0,2,0,0,1,7,3.66
226,1,21,7,0,81.0,4,1,0,5,0,1,0,1,1,5,3.94
227,1,21,7,0,81.0,3,1,0,5,0,2,0,1,1,5,3.75
228,1,21,7,0,81.0,4,1,0,5,0,1,0,1,1,5,3.7
229,1,21,7,0,81.0,2,1,0,5,0,1,0,1,1,5,3.77
230,1,21,7,0,81.0,2,1,0,5,0,1,0,1,1,5,3.56
231,1,23,4,0,87.0,5,1,0,1,1,1,0,0,1,7,4.0
232,1,23,4,0,87.0,5,1,0,1,1,1,0,0,1,7,4.0
233,1,23,4,0,87.0,5,1,0,1,1,1,0,0,1,7,4.0
234,1,23,4,0,87.0,5,1,0,1,1,1,0,0,1,7,3.95
235,1,23,4,0,87.0,5,1,0,1,1,1,0,0,1,7,3.87
236,1,24,4,0,80.0,3,0,0,5,1,1,0,0,1,6,3.91
237,1,24,4,0,80.0,3,0,0,5,1,1,0,0,1,6,3.41
238,1,24,4,0,80.0,3,0,0,5,1,1,0,0,1,6,3.83
239,1,24,4,0,80.0,3,0,0,5,1,1,0,0,1,6,3.75
240,1,24,4,0,80.0,3,0,0,5,1,1,0,0,1,6,3.82
241,1,23,5,0,76.0,3,1,0,3,0,1,0,0,1,5,3.94
242,1,23,5,0,76.0,3,1,0,3,0,1,0,0,1,5,3.89
243,1,23,5,0,76.0,3,1,0,3,0,1,0,0,1,5,3.68
244,1,23,5,0,76.0,3,1,0,3,0,1,0,0,1,5,3.65
245,1,23,5,0,76.0,3,1,0,3,0,1,0,0,1,5,3.05
246,1,24,7,0,88.0,5,1,0,3,0,1,0,0,1,5,3.94
247,1,24,7,0,88.0,5,1,0,3,0,1,0,0,1,5,4.0
248,1,24,7,0,88.0,5,1,0,3,0,1,0,0,1,5,3.93
249,1,24,7,0,88.0,5,1,0,3,0,1,0,0,1,5,3.89
250,1,24,7,0,88.0,5,1,0,3,0,1,0,0,1,5,3.95
251,1,22,4,0,74.0,3,0,0,6,1,2,0,1,1,4,3.24
252,1,22,4,0,74.0,3,0,0,6,1,1,0,1,1,4,3.54
253,1,22,4,0,74.0,3,0,0,6,1,2,0,1,1,4,3.68
254,1,22,4,0,74.0,3,0,0,6,1,2,0,1,1,4,3.01
255,1,22,4,0,74.0,3,0,0,6,1,2,0,1,1,4,2.85
256,1,21,2,1,85.0,3,1,0,3,0,2,0,0,1,1,3.63
257,1,21,2,1,85.0,2,1,0,3,0,1,0,0,1,1,4.0
258,1,21,2,1,85.0,2,1,0,3,0,1,0,0,1,1,3.75
259,1,21,2,1,85.0,3,1,0,3,0,2,0,0,1,1,3.95
260,1,21,2,1,85.0,1,1,0,3,0,1,0,0,1,1,4.0
261,0,20,0,1,94.0,4,1,0,4,0,1,0,1,1,4,3.94
262,0,20,0,1,94.0,4,1,0,4,0,1,0,1,1,4,3.88
263,0,20,0,1,94.0,4,1,0,4,0,1,0,1,1,4,3.93
264,0,20,0,1,94.0,4,1,0,4,0,1,0,1,1,4,3.68
265,0,20,0,1,94.0,4,1,0,4,0,1,0,1,1,4,3.85
266,0,22,5,0,83.0,1,1,0,3,0,1,0,0,1,4,3.87
267,0,22,5,0,83.0,1,1,0,3,0,1,0,0,1,4,3.77
268,0,22,5,0,83.0,1,1,0,3,0,1,0,0,1,4,4.0
269,0,22,5,0,83.0,1,1,0,3,0,1,0,0,1,4,3.52
270,0,22,5,0,83.0,1,1,0,3,0,1,0,0,1,4,3.78
271,1,22,0,0,88.0,1,0,1,4,0,1,0,1,1,4,3.56
272,1,22,0,0,88.0,1,0,0,4,0,1,0,1,1,4,3.79
273,1,22,0,0,88.0,1,0,0,4,0,1,0,1,1,4,3.68
274,1,22,0,0,88.0,1,0,0,4,0,1,0,1,1,4,3.48
275,1,22,0,0,88.0,1,0,0,4,0,1,0,1,1,4,3.31
276,1,21,7,0,80.0,1,1,0,3,0,3,0,0,1,2,3.7
277,1,21,7,0,80.0,1,1,0,3,0,3,0,0,1,2,3.95
278,1,21,7,0,80.0,1,1,0,3,0,1,0,0,1,2,3.68
279,1,21,7,0,80.0,1,1,0,3,0,1,0,0,1,2,3.52
280,1,21,7,0,80.0,1,1,0,3,0,3,0,0,1,2,3.02
281,0,22,7,0,84.0,3,1,0,3,0,1,0,0,1,5,3.76
282,0,22,7,0,84.0,3,1,0,3,0,1,0,0,1,5,3.88
283,0,22,7,0,84.0,3,1,0,3,0,1,0,0,1,5,3.83
284,0,22,7,0,84.0,3,1,0,3,0,1,0,0,1,5,3.65
285,0,22,7,0,84.0,3,1,0,3,0,1,0,0,1,5,3.75
286,1,23,5,0,85.0,5,1,0,6,0,1,0,0,1,4,4.0
287,1,23,5,0,85.0,5,1,0,6,0,1,0,0,1,4,3.96
288,1,23,5,0,85.0,5,1,0,6,0,1,0,0,1,4,3.43
289,1,23,5,0,85.0,5,1,0,6,0,1,0,0,1,4,3.93
290,1,23,5,0,85.0,5,1,0,6,0,1,0,0,1,4,3.85
291,1,21,5,1,80.0,3,0,0,5,0,1,0,1,1,5,3.68
292,1,21,5,1,80.0,1,0,0,5,0,2,0,1,1,5,3.38
293,1,21,5,1,80.0,1,0,0,5,0,2,0,1,1,5,3.85
294,1,21,5,1,80.0,1,0,0,5,0,1,0,1,1,5,3.63
295,1,21,5,1,80.0,1,0,0,5,0,2,0,1,1,5,3.38
296,1,22,2,1,88.0,3,0,0,4,0,1,0,1,1,4,3.44
297,1,22,2,1,88.0,1,0,0,4,0,3,0,1,1,4,3.89
298,1,22,2,1,88.0,3,0,0,4,0,1,0,1,1,4,3.65
299,1,22,2,1,88.0,1,0,0,4,0,3,0,1,1,4,3.63
300,1,22,2,1,88.0,1,0,0,4,0,3,0,1,1,4,3.62
301,1,21,7,0,87.0,2,1,0,0,0,1,0,1,1,6,3.94
302,1,21,7,0,87.0,2,1,0,0,0,1,0,1,1,6,4.0
303,1,21,7,0,87.0,2,1,0,0,0,1,0,1,1,6,3.85
304,1,21,7,0,87.0,2,1,0,0,0,1,0,1,1,6,3.88
305,1,21,7,0,87.0,1,1,0,0,0,1,0,1,1,6,3.9
306,1,22,7,0,73.0,3,0,1,2,1,1,0,1,1,4,3.38
307,1,22,7,0,73.0,2,0,0,2,1,1,0,1,1,4,3.54
308,1,22,7,0,73.0,3,0,0,2,1,1,0,1,1,4,3.58
309,1,22,7,0,73.0,2,0,0,2,1,1,0,1,1,4,3.4
310,1,22,7,0,73.0,2,0,0,2,1,1,0,1,1,4,3.0
311,0,24,5,0,87.0,3,0,0,4,0,1,0,1,1,5,3.11
312,0,24,5,0,87.0,3,0,0,4,0,1,0,1,1,5,3.52
313,0,24,5,0,87.0,3,0,0,4,0,1,0,1,1,5,4.0
314,0,24,5,0,87.0,3,0,0,4,0,1,0,1,1,5,3.49
315,0,24,5,0,87.0,3,0,0,4,0,1,0,1,1,5,3.68
316,1,22,5,0,80.0,1,0,0,3,0,1,0,1,1,4,3.29
317,1,22,5,0,80.0,1,0,0,3,0,1,0,1,1,4,3.59
318,1,22,5,0,80.0,1,0,0,3,0,1,0,1,1,4,3.43
319,1,22,5,0,80.0,1,0,0,3,0,1,0,1,1,4,3.43
320,1,22,5,0,80.0,1,0,0,3,0,1,0,1,1,4,3.47
321,1,21,5,0,79.0,1,1,0,2,0,3,0,0,1,4,3.74
322,1,21,5,0,79.0,1,1,0,2,0,3,0,0,1,4,3.51
323,1,21,5,0,79.0,1,1,0,2,0,3,0,0,1,4,3.93
324,1,21,5,0,79.0,1,1,0,2,0,3,0,0,1,4,3.65
325,1,21,5,0,79.0,1,1,0,2,0,3,0,0,1,4,3.66
326,0,22,5,0,87.0,1,1,0,5,0,1,0,1,1,4,2.92
327,0,22,5,0,87.0,1,1,0,5,0,1,0,1,1,4,3.51
328,0,22,5,0,87.0,1,1,0,5,0,1,0,1,1,4,3.75
329,0,22,5,0,87.0,1,1,0,5,0,1,0,1,1,4,3.54
330,0,22,5,0,87.0,1,1,0,5,0,1,0,1,1,4,3.21
331,1,21,0,0,75.08,3,1,0,4,0,1,0,0,1,5,3.36
332,1,21,0,0,75.08,3,1,0,4,0,1,0,0,1,5,3.38
333,1,21,0,0,75.08,3,1,0,4,0,1,0,0,1,5,3.5
334,1,21,0,0,75.08,3,1,1,4,0,1,0,0,1,5,3.29
335,1,21,0,0,75.08,3,1,0,4,0,1,0,0,1,5,3.02
336,1,22,6,0,80.0,3,0,1,9,0,1,0,0,1,6,3.43
337,1,22,6,0,80.0,3,0,0,9,0,1,0,0,1,6,3.7
338,1,22,6,0,80.0,3,0,0,9,0,1,0,0,1,6,3.78
339,1,22,6,0,80.0,3,0,0,9,0,1,0,0,1,6,3.09
340,1,22,6,0,80.0,3,0,0,9,0,1,0,0,1,6,3.17
341,1,23,5,1,77.7,1,0,1,3,0,1,0,1,1,4,3.26
342,1,23,5,1,77.7,4,0,0,3,0,1,0,1,1,4,3.31
343,1,23,5,1,77.7,4,0,0,3,0,1,0,1,1,4,3.4
344,1,23,5,1,77.7,4,0,0,3,0,1,0,1,1,4,2.94
345,1,23,5,1,77.7,4,0,0,3,0,1,0,1,1,4,3.39
346,1,22,0,0,80.0,4,0,1,3,0,3,0,1,1,4,3.21
347,1,22,0,0,80.0,3,0,0,3,0,1,0,1,1,4,3.65
348,1,22,0,0,80.0,3,0,0,3,0,1,0,1,1,4,3.78
349,1,22,0,0,80.0,4,0,0,3,0,3,0,1,1,4,2.71
350,1,22,0,0,80.0,4,0,0,3,0,3,0,1,1,4,2.71
351,1,23,7,0,78.0,1,0,0,3,0,1,0,1,1,7,3.76
352,1,23,7,0,78.0,1,0,0,3,0,1,0,1,1,7,3.65
353,1,23,7,0,78.0,2,0,0,3,0,1,0,1,1,7,3.68
354,1,23,7,0,78.0,2,0,0,3,0,1,0,1,1,7,3.44
355,1,23,7,0,78.0,2,0,0,3,0,1,0,1,1,7,3.73
356,1,21,0,1,76.0,1,1,2,4,0,1,1,1,1,4,2.93
357,1,21,0,1,76.0,2,1,0,4,0,1,1,1,1,4,2.98
358,1,21,0,1,76.0,1,1,0,4,0,1,1,1,1,4,3.43
